dosage_forms,generic_formulation,actual_ending,count
Extended Release Oral Capsule,24 HR venlafaxine 150 MG, MG,67
Oral Tablet,diazepam 5 MG, MG,67
Oral Tablet,clonazepam 1 MG, MG,67
Extended Release Oral Capsule,24 HR venlafaxine 37.5 MG, MG,67
Oral Capsule,clindamycin 300 MG, MG,67
"CAPSULE, EXTENDED RELEASE",24 HR venlafaxine 150 MG Extended Release Oral Capsule, MG Extended Release Oral Capsule,67
"CAPSULE, EXTENDED RELEASE",24 HR venlafaxine 37.5 MG Extended Release Oral Capsule, MG Extended Release Oral Capsule,67
Oral Capsule,phentermine hydrochloride 30 MG, MG,66
Oral Tablet,levothyroxine sodium 0.025 MG, MG,66
Oral Tablet,phentermine hydrochloride 37.5 MG, MG,66
Delayed Release Oral Tablet,diclofenac sodium 50 MG, MG,66
"TABLET, DELAYED RELEASE (OBS 06-25-01)",diclofenac sodium 50 MG Delayed Release Oral Tablet, MG Delayed Release Oral Tablet,66
Oral Tablet,amitriptyline hydrochloride 50 MG, MG,66
Delayed Release Oral Capsule,duloxetine 20 MG, MG,66
Oral Tablet,phenazopyridine hydrochloride 200 MG, MG,66
GASTRO-RESISTANT TABLET,diclofenac sodium 50 MG Delayed Release Oral Tablet, MG Delayed Release Oral Tablet,66
Oral Tablet,carvedilol 25 MG, MG,65
Oral Tablet,tizanidine 2 MG, MG,65
Oral Tablet,methylprednisolone 4 MG, MG,65
Oral Tablet,metronidazole 250 MG, MG,65
Oral Capsule,pregabalin 200 MG, MG,65
Oral Tablet,sildenafil 100 MG, MG,65
Oral Capsule,fluoxetine 40 MG, MG,65
Oral Tablet,carvedilol 6.25 MG, MG,64
Oral Tablet,levothyroxine sodium 0.125 MG, MG,64
Mouthwash,chlorhexidine gluconate 1.2 MG/ML,ML,64
MOUTHWASH,chlorhexidine gluconate 1.2 MG/ML Mouthwash,ML Mouthwash,64
GARGLE,chlorhexidine gluconate 1.2 MG/ML Mouthwash,ML Mouthwash,64
Oral Tablet,lorazepam 0.5 MG, MG,64
Oral Capsule,oseltamivir 75 MG, MG,64
Delayed Release Oral Tablet,divalproex sodium 250 MG, MG,63
GASTRO-RESISTANT TABLET,divalproex sodium 250 MG Delayed Release Oral Tablet, MG Delayed Release Oral Tablet,63
Oral Tablet,carvedilol 12.5 MG, MG,63
Oral Capsule,pregabalin 25 MG, MG,63
Oral Tablet,ferrous fumarate 75 MG, MG,63
"TABLET, DELAYED RELEASE (OBS 06-25-01)",divalproex sodium 250 MG Delayed Release Oral Tablet, MG Delayed Release Oral Tablet,63
